option_header_id,option_line_id,option_line_code,option_line_value,description,value_group_id,efid,status,rev_enabled,rev_number,effective_start_date,effective_end_date
134,,AWG,Aruban Guilder,Aruba,,0,,enabled,1,1/1/2000,
134,,AZN,Azerbaijanian Manat,Azerbaijan,,0,,enabled,1,1/1/2000,
134,,BAM,Convertible Marks,Bosnia and Herzegovina,,0,,enabled,1,1/1/2000,
134,,BBD,Barbados Dollar,Barbados,,0,,enabled,1,1/1/2000,
134,,BDT,Bangladeshi Taka,Bangladesh,,0,,enabled,1,1/1/2000,
134,,BGN,Bulgarian Lev,Bulgaria,,0,,enabled,1,1/1/2000,
134,,BHD,Bahraini Dinar,Bahrain,,0,,enabled,1,1/1/2000,
134,,BIF,Burundian Franc,Burundi,,0,,enabled,1,1/1/2000,
134,,BMD,Bermudian Dollar ,Bermuda,,0,,enabled,1,1/1/2000,
134,,BND,Brunei Dollar,Brunei,,0,,enabled,1,1/1/2000,
134,,BOB,Boliviano,Bolivia,,0,,enabled,1,1/1/2000,
134,,BOV,Bolivian Mvdol,Bolivia,,0,,enabled,1,1/1/2000,
134,,BRL,Brazilian Real,Brazil,,0,,enabled,1,1/1/2000,
134,,BSD,Bahamian Dollar,Bahamas,,0,,enabled,1,1/1/2000,
134,,BTN,Ngultrum,Bhutan,,0,,enabled,1,1/1/2000,
134,,BWP,Pula,Botswana,,0,,enabled,1,1/1/2000,
134,,BYR,Belarussian Ruble,Belarus,,0,,enabled,1,1/1/2000,
134,,BZD,Belize Dollar,Belize,,0,,enabled,1,1/1/2000,
134,,CAD,Canadian Dollar,Canada,,0,,enabled,1,1/1/2000,
134,,CDF,Franc Congolais,Democratic Republic of Congo,,0,,enabled,1,1/1/2000,
134,,CHE,WIR Euro,Switzerland,,0,,enabled,1,1/1/2000,
134,,CHF,Swiss Franc,"Switzerland, Liechtenstein",,0,,enabled,1,1/1/2000,
134,,CHW,WIR Franc ,Switzerland,,0,,enabled,1,1/1/2000,
134,,CLF,Unidades de formento,Chile,,0,,enabled,1,1/1/2000,
134,,CLP,Chilean Peso,Chile,,0,,enabled,1,1/1/2000,
134,,CNY,Yuan Renminbi,Mainland China,,0,,enabled,1,1/1/2000,
134,,COP,Colombian Peso,Colombia,,0,,enabled,1,1/1/2000,
134,,COU,Unidad de Valor Real,Colombia,,0,,enabled,1,1/1/2000,
134,,CRC,Costa Rican Colon,Costa Rica,,0,,enabled,1,1/1/2000,
134,,CUP,Cuban Peso,Cuba,,0,,enabled,1,1/1/2000,
