sys_value_group_line_id,sys_value_group_header_id,code_value,code,description,account_qualifier,status,parent_cb,parent_line_id,effective_start_date,effective_end_date
,4,300000,300000,Net Assets,E,active,,,,
,4,310000,310000,Net Asset Additions,E,active,,,,
,4,320000,320000,Net Asset Deductions,E,active,,,,
,4,330000,330000,Net Assets Prior Year,E,active,,,,
,4,340000,340000,Prior Year Adjustment to Net Assets,E,active,,,,
,4,350000,350000,Change in Net Assets,E,active,,,,
,4,360000,360000,Temporary Close Account,E,active,,,,
,4,370000,370000,Reserve for Encumbrances,E,active,,,,
,4,380000,380000,Translation Adjustment,E,active,,,,
,4,380050,380050,Common Stock,E,active,,,,
,4,380100,380100,Treasury Stock,E,active,,,,
,4,380150,380150,Preferred Stock,E,active,,,,
,4,380200,380200,Deferred Compensation,E,active,,,,
,4,380250,380250,Notes Rec From Stock Sales,E,active,,,,
,4,380300,380300,Decentralization Equity,E,active,,,,
,4,390000,390000,Retained Earnings,E,active,,,,
,4,400000,400000,Total Revenue,I,active,,,,
,4,401000,401000,External Sales,I,active,,,,
,4,401050,401050,External Sales - JE Account,I,active,,,,
,4,401100,401100,External Service,I,active,,,,
,4,401150,401150,External Service - JE Account,I,active,,,,
,4,401200,401200,External Sales - Non US,I,active,,,,
,4,401250,401250,External Service (DO NOT USED),I,active,,,,
,4,401300,401300,Internt'l Rep Commission,I,active,,,,
,4,401350,401350,Sales Discount,I,active,,,,
,4,401400,401400,Intergroup Sales,I,active,,,,
,4,401450,401450,Intragroup Sales,I,active,,,,
,4,410000,410000,Gross Patient Revenue,I,active,,,,
,4,411000,411000,Inpatient Revenue,I,active,,,,
,4,412000,412000,Outpatient Revenue,I,active,,,,
,4,420000,420000,Revenue Deductions,I,active,,,,
,4,421000,421000,Contractual Adjustments,I,active,,,,
,4,422000,422000,Employee Discount/Adjustment,I,active,,,,
,4,423000,423000,Charity Care,I,active,,,,
,4,430000,430000,Other Operating Income,I,active,,,,
,4,431000,431000,Cafeteria Revenue,I,active,,,,
,4,432000,432000,Retail Pharmacy Revenue,I,active,,,,
,4,433000,433000,Grant Revenue,I,active,,,,
,4,439000,439000,Miscellaneous Revenue,I,active,,,,
,4,440000,440000,Investment Income,I,active,,,,
,4,441000,441000,Short Term Investment Income,I,active,,,,
,4,442000,442000,Miscellaneous Interest Income,I,active,,,,
,4,443000,443000,Realized Gain Loss on Investments,I,active,,,,
,4,450000,450000,Affiliate Revenue,I,active,,,,
,4,451000,451000,I/C Revenue Regional Hospital,I,active,,,,
,4,452000,452000,I/C Revenue Community Hospital,I,active,,,,
,4,453000,453000,I/C Revenue VHS Clinic,I,active,,,,
,4,455000,455000,I/C Revenue Foundation,I,active,,,,
,4,456000,456000,I/C Revenue Corporate Services,I,active,,,,
,4,457000,457000,I/C Revenue Distribution Center,I,active,,,,
,4,460000,460000,Gain on Investment - Realized,I,active,,,,
,4,460100,460100,Gain on Investment- Unrealized,I,active,,,,
,4,460200,460200,Interest Income,I,active,,,,
,4,460300,460300,Interest Income from Short Term Investments,I,active,,,,
,4,460400,460400,Cash Discounts,I,active,,,,
,4,460500,460500,Dividends,I,active,,,,
,4,460600,460600,Minority JV Income,I,active,,,,
,4,460700,460700,Other Income,I,active,,,,
,4,460800,460800,Gain from Reversal of Accruals,I,active,,,,
,4,460900,460900,Loss on Investment - Unrealized,I,active,,,,
,4,461000,461000,Interest Expense,I,active,,,,
,4,461100,461100,"Interest expense of subordinated loans, current year",I,active,,,,
,4,461200,461200,Interest expense from Leasing Contracts,I,active,,,,
,4,461300,461300,Tax Penalties,I,active,,,,
,4,461400,461400,Misc Business Taxes,I,active,,,,
,4,461500,461500,"Other Expense, Random",I,active,,,,
,4,461600,461600,Other Financial Expense,I,active,,,,
,4,461700,461700,Other Expense,I,active,,,,
,4,461800,461800,I/C Interest Income,I,active,,,,
,4,461900,461900,I/C Interest Expense,I,active,,,,
,4,462000,462000,I/C Service Fees,I,active,,,,
,4,462100,462100,I/C Global Service Allocation,I,active,,,,
,4,462200,462200,I/C Royalty Income,I,active,,,,
,4,462300,462300,I/C Royalty Expense,I,active,,,,
,4,462400,462400,FX Gain - Realized,I,active,,,,
,4,462500,462500,"FX Gain, Intercompany Loans",I,active,,,,
,4,462600,462600,"FX Gain from Sales, Realized",I,active,,,,
,4,462700,462700,FX Gain - Unrealized,I,active,,,,
,4,462800,462800,"FX Gain Sales, Unrealized",I,active,,,,
,4,462900,462900,FX Loss - Realized,I,active,,,,
,4,463000,463000,"FX Loss, Intercompany Loans",I,active,,,,
,4,463100,463100,"FX Loss from Sales, Realized",I,active,,,,
,4,463200,463200,FX Loss - Unrealized,I,active,,,,
,4,463300,463300,"FX Loss from Sales, Unrealized",I,active,,,,
,4,463400,463400,Gain/Loss from Disposition of Operations,I,active,,,,
