coa_combination_id,coa_id,field1,field2,field3,field4,field5,field6,field7,field8,combination,description,ef_id,status,rev_enabled_cb,rev_number,effective_start_date,effective_end_date
,1,501,502,0000,401400,3100,101,,,501-502-0000-401400-3100-101,,,,,,,
,1,501,502,0000,401400,3100,102,,,501-502-0000-401400-3100-102,,,,,,,
,1,501,502,0000,401400,3100,103,,,501-502-0000-401400-3100-103,,,,,,,
,1,501,502,0000,401400,3100,502,,,501-502-0000-401400-3100-502,,,,,,,
,1,501,502,0000,401400,3100,503,,,501-502-0000-401400-3100-503,,,,,,,
,1,501,502,0000,401400,3100,201,,,501-502-0000-401400-3100-201,,,,,,,
,1,501,502,0000,401400,3100,205,,,501-502-0000-401400-3100-205,,,,,,,
,1,501,502,0000,401100,3100,501,,,501-502-0000-401100-3100-501,,,,,,,
,1,501,502,0000,401100,1000,501,,,501-502-0000-401100-1000-501,,,,,,,
,1,501,502,0000,401100,2000,501,,,501-502-0000-401100-2000-501,,,,,,,
,1,501,502,0000,401100,3000,501,,,501-502-0000-401100-3000-501,,,,,,,
,1,501,502,0000,401100,3100,501,,,501-502-0000-401100-3100-501,,,,,,,
,1,501,502,0000,401100,3200,501,,,501-502-0000-401100-3200-501,,,,,,,
,1,501,502,0000,401100,3102,501,,,501-502-0000-401100-3102-501,,,,,,,
,1,501,502,0000,401100,3103,501,,,501-502-0000-401100-3103-501,,,,,,,
,1,501,502,0000,401350,3100,501,,,501-502-0000-401350-3100-501,,,,,,,
,1,501,502,0000,439000,3100,501,,,501-502-0000-439000-3100-501,,,,,,,
,1,501,502,0000,440000,3100,501,,,501-502-0000-440000-3100-501,,,,,,,
,1,501,502,0000,441000,3100,501,,,501-502-0000-441000-3100-501,,,,,,,
,1,501,502,0000,442000,3100,501,,,501-502-0000-442000-3100-501,,,,,,,
,1,501,502,0000,443000,3100,501,,,501-502-0000-443000-3100-501,,,,,,,
,1,501,502,0000,450000,3100,501,,,501-502-0000-450000-3100-501,,,,,,,
,1,501,502,0000,460900,3100,501,,,501-502-0000-460900-3100-501,,,,,,,
,1,501,502,0000,460800,3100,501,,,501-502-0000-460800-3100-501,,,,,,,
,1,501,502,0000,460700,3100,501,,,501-502-0000-460700-3100-501,,,,,,,
,1,501,502,0000,460600,3100,501,,,501-502-0000-460600-3100-501,,,,,,,
,1,501,502,0000,460500,3100,501,,,501-502-0000-460500-3100-501,,,,,,,
,1,501,502,0000,460400,3100,501,,,501-502-0000-460400-3100-501,,,,,,,
,1,501,502,0000,460300,3100,501,,,501-502-0000-460300-3100-501,,,,,,,
,1,501,502,0000,460200,3100,501,,,501-502-0000-460200-3100-501,,,,,,,
,1,501,502,0000,460100,3100,501,,,501-502-0000-460100-3100-501,,,,,,,
,1,501,502,0000,460000,3100,501,,,501-502-0000-460000-3100-501,,,,,,,
,1,501,502,0000,463400,3100,501,,,501-502-0000-463400-3100-501,,,,,,,
,1,501,502,0000,463300,3100,501,,,501-502-0000-463300-3100-501,,,,,,,
,1,501,502,0000,463200,3100,501,,,501-502-0000-463200-3100-501,,,,,,,
,1,501,502,0000,463100,3100,501,,,501-502-0000-463100-3100-501,,,,,,,
,1,501,502,0000,463000,3100,501,,,501-502-0000-463000-3100-501,,,,,,,
,1,501,502,0000,462900,3100,501,,,501-502-0000-462900-3100-501,,,,,,,
,1,501,502,0000,462800,3100,501,,,501-502-0000-462800-3100-501,,,,,,,
,1,501,502,0000,462700,3100,501,,,501-502-0000-462700-3100-501,,,,,,,
,1,501,502,0000,462600,3100,501,,,501-502-0000-462600-3100-501,,,,,,,
,1,501,502,0000,462500,3100,501,,,501-502-0000-462500-3100-501,,,,,,,
,1,501,502,0000,462400,3100,501,,,501-502-0000-462400-3100-501,,,,,,,
,1,501,502,0000,462300,3100,501,,,501-502-0000-462300-3100-501,,,,,,,
,1,501,502,0000,462200,3100,501,,,501-502-0000-462200-3100-501,,,,,,,
,1,501,502,0000,462100,3100,501,,,501-502-0000-462100-3100-501,,,,,,,
,1,501,502,0000,462000,3100,501,,,501-502-0000-462000-3100-501,,,,,,,
,1,501,502,0000,461900,3100,501,,,501-502-0000-461900-3100-501,,,,,,,
,1,501,502,0000,461800,3100,501,,,501-502-0000-461800-3100-501,,,,,,,
,1,501,502,9000,856000,3100,501,,,501-502-9000-856000-3100-501,,,,,,,
,1,501,502,9000,855000,3100,501,,,501-502-9000-855000-3100-501,,,,,,,
,1,501,502,9000,854000,3100,501,,,501-502-9000-854000-3100-501,,,,,,,
,1,501,502,9000,853000,3100,501,,,501-502-9000-853000-3100-501,,,,,,,
,1,501,502,9000,852000,3100,501,,,501-502-9000-852000-3100-501,,,,,,,
,1,501,502,9000,851000,3100,501,,,501-502-9000-851000-3100-501,,,,,,,
,1,501,502,9000,850000,3100,501,,,501-502-9000-850000-3100-501,,,,,,,
,1,501,502,9000,802000,3100,501,,,501-502-9000-802000-3100-501,,,,,,,
,1,501,502,9000,801000,3100,501,,,501-502-9000-801000-3100-501,,,,,,,
,1,501,502,9000,800000,3100,501,,,501-502-9000-800000-3100-501,,,,,,,
,1,501,502,9000,799990,3100,501,,,501-502-9000-799990-3100-501,,,,,,,
,1,501,502,9000,717000,3100,501,,,501-502-9000-717000-3100-501,,,,,,,
,1,501,502,9000,716000,3100,501,,,501-502-9000-716000-3100-501,,,,,,,
,1,501,502,9000,715000,3100,501,,,501-502-9000-715000-3100-501,,,,,,,
,1,501,502,9000,713000,3100,501,,,501-502-9000-713000-3100-501,,,,,,,
,1,501,502,9000,712000,3100,501,,,501-502-9000-712000-3100-501,,,,,,,
,1,501,502,9000,711000,3100,501,,,501-502-9000-711000-3100-501,,,,,,,
,1,501,502,9000,710000,3100,501,,,501-502-9000-710000-3100-501,,,,,,,
,1,501,502,9000,709000,3100,501,,,501-502-9000-709000-3100-501,,,,,,,
,1,501,502,9000,708000,3100,501,,,501-502-9000-708000-3100-501,,,,,,,
,1,501,502,9000,707000,3100,501,,,501-502-9000-707000-3100-501,,,,,,,
,1,501,502,9000,706000,3100,501,,,501-502-9000-706000-3100-501,,,,,,,
,1,501,502,9000,705000,3100,501,,,501-502-9000-705000-3100-501,,,,,,,
,1,501,502,9000,704000,3100,501,,,501-502-9000-704000-3100-501,,,,,,,
