coa_combination_id,coa_id,field1,field2,field3,field4,field5,field6,field7,field8,combination,description,ac_type,ef_id,status,rev_enabled_cb,rev_number,effective_start_date,effective_end_date
,1,501,503,0000,100001,3100,501,,,501-503-0000-100001-3100-501,USA-California-0000-Cash & Equivalent-All-USA-A,A,,,,,,
,1,501,503,0000,100010,3100,501,,,501-503-0000-100010-3100-501,USA-California-0000-Cash in Bank1 -All-USA-A,A,,,,,,
,1,501,503,0000,100020,3100,501,,,501-503-0000-100020-3100-501,USA-California-0000-Cash in Bank2-All-USA-A,A,,,,,,
,1,501,503,0000,100030,3100,501,,,501-503-0000-100030-3100-501,USA-California-0000-Cash in Bank3-All-USA-A,A,,,,,,
,1,501,503,0000,100040,3100,501,,,501-503-0000-100040-3100-501,USA-California-0000-Cash in Bank4-All-USA-A,A,,,,,,
,1,501,503,0000,101001,3100,501,,,501-503-0000-101001-3100-501,USA-California-0000-Foreign Cash Reserve 1-All-USA-A,A,,,,,,
,1,501,503,0000,101011,3100,501,,,501-503-0000-101011-3100-501,USA-California-0000-Foreign Cash Reserve 2-All-USA-A,A,,,,,,
,1,501,503,0000,101012,3100,501,,,501-503-0000-101012-3100-501,USA-California-0000-Foreign Cash Reserve 3-All-USA-A,A,,,,,,
,1,501,503,0000,101013,3100,501,,,501-503-0000-101013-3100-501,USA-California-0000-Cash - BoA - USD-All-USA-A,A,,,,,,
,1,501,503,0000,101101,3100,501,,,501-503-0000-101101-3100-501,USA-California-0000-Cash - DB - EUR-All-USA-A,A,,,,,,
,1,501,503,0000,101102,3100,501,,,501-503-0000-101102-3100-501,USA-California-0000-Cash - DB - GBP-All-USA-A,A,,,,,,
,1,501,503,0000,101103,3100,501,,,501-503-0000-101103-3100-501,USA-California-0000-Cash - DB - USD-All-USA-A,A,,,,,,
,1,501,503,0000,101104,3100,501,,,501-503-0000-101104-3100-501,USA-California-0000-Cash - DB - JPY-All-USA-A,A,,,,,,
,1,501,503,0000,101204,3100,501,,,501-503-0000-101204-3100-501,USA-California-0000-Settlements in Transit-All-USA-A,A,,,,,,
,1,501,503,0000,101205,3100,501,,,501-503-0000-101205-3100-501,USA-California-0000-Unidentified Receipts-All-USA-A,A,,,,,,
,1,501,503,0000,101206,3100,501,,,501-503-0000-101206-3100-501,USA-California-0000-Cash Clearing Account-All-USA-A,A,,,,,,
,1,501,503,0000,101270,3100,501,,,501-503-0000-101270-3100-501,"USA-California-0000-Transfer Between Bank Accounts, Clearing Account-All-USA-A",A,,,,,,
,1,501,503,0000,101800,3100,501,,,501-503-0000-101800-3100-501,USA-California-0000-Paypal/Escrow Cash-All-USA-A,A,,,,,,
,1,501,503,0000,101950,3100,501,,,501-503-0000-101950-3100-501,USA-California-0000-Petty Cash - USD-All-USA-A,A,,,,,,
,1,501,503,0000,101951,3100,501,,,501-503-0000-101951-3100-501,USA-California-0000-Petty Cash - GBP-All-USA-A,A,,,,,,
,1,501,503,0000,101952,3100,501,,,501-503-0000-101952-3100-501,USA-California-0000-Petty Cash - EURO-All-USA-A,A,,,,,,
,1,501,503,0000,101990,3100,501,,,501-503-0000-101990-3100-501,USA-California-0000-Investment < 90 Days (Cash Equivalent)-All-USA-A,A,,,,,,
,1,501,503,0000,101991,3100,501,,,501-503-0000-101991-3100-501,USA-California-0000-Investment < 60 Days (Cash Equivalent)-All-USA-A,A,,,,,,
,1,501,503,0000,101999,3100,501,,,501-503-0000-101999-3100-501,USA-California-0000-Investment - Flexible FD (Cash Equivalent)-All-USA-A,A,,,,,,
,1,501,503,0000,102000,3100,501,,,501-503-0000-102000-3100-501,USA-California-0000-Investments-All-USA-A,A,,,,,,
,1,501,503,0000,102900,3100,501,,,501-503-0000-102900-3100-501,USA-California-0000-Other Investments -All-USA-A,A,,,,,,
,1,501,503,0000,103000,3100,501,,,501-503-0000-103000-3100-501,USA-California-0000-Receivable - Gross-All-USA-A,A,,,,,,
,1,501,503,0000,103005,3100,501,,,501-503-0000-103005-3100-501,USA-California-0000-Trade A/R - JE-All-USA-A,A,,,,,,
,1,501,503,0000,103010,3100,501,,,501-503-0000-103010-3100-501,USA-California-0000-A/R - Promissory Notes-All-USA-A,A,,,,,,
,1,501,503,0000,103015,3100,501,,,501-503-0000-103015-3100-501,USA-California-0000-A/R Promissory Notes Clearing-All-USA-A,A,,,,,,
,1,501,503,0000,103020,3100,501,,,501-503-0000-103020-3100-501,USA-California-0000-A/R - Uninvoiced Revenue-All-USA-A,A,,,,,,
,1,501,503,0000,103100,3100,501,,,501-503-0000-103100-3100-501,USA-California-0000-A/R - Allowance-All-USA-A,A,,,,,,
,1,501,503,0000,103110,3100,501,,,501-503-0000-103110-3100-501,USA-California-0000-A/R - Allowance Sales and Returns-All-USA-A,A,,,,,,
,1,501,503,0000,104000,3100,501,,,501-503-0000-104000-3100-501,USA-California-0000-Sales Returns and Allowances-All-USA-A,A,,,,,,
,1,501,503,0000,104100,3100,501,,,501-503-0000-104100-3100-501,USA-California-0000-Uninvoiced Service contract-All-USA-A,A,,,,,,
,1,501,503,0000,104400,3100,501,,,501-503-0000-104400-3100-501,USA-California-0000-Salary Advance & Temp Payroll-All-USA-A,A,,,,,,
,1,501,503,0000,104410,3100,501,,,501-503-0000-104410-3100-501,USA-California-0000-Travel/Other Advances-All-USA-A,A,,,,,,
,1,501,503,0000,104420,3100,501,,,501-503-0000-104420-3100-501,USA-California-0000-Advances - Inventory-All-USA-A,A,,,,,,
,1,501,503,0000,104430,3100,501,,,501-503-0000-104430-3100-501,USA-California-0000-Advances of Fixed Assets-All-USA-A,A,,,,,,
,1,501,503,0000,104440,3100,501,,,501-503-0000-104440-3100-501,USA-California-0000-Advances of Current Assets-All-USA-A,A,,,,,,
,1,501,503,0000,104500,3100,501,,,501-503-0000-104500-3100-501,USA-California-0000-Deferred Income Taxes-All-USA-A,A,,,,,,
,1,501,503,0000,104510,3100,501,,,501-503-0000-104510-3100-501,,A,,,,,,
,1,501,503,0000,104520,3100,501,,,501-503-0000-104520-3100-501,USA-California-0000-Interest & Taxes on Officer Notes-All-USA-A,A,,,,,,
,1,501,503,0000,104600,3100,501,,,501-503-0000-104600-3100-501,USA-California-0000-VAT on Import/Import Consumption Tax Receivable-All-USA-A,A,,,,,,
,1,501,503,0000,104640,3100,501,,,501-503-0000-104640-3100-501,USA-California-0000-VAT on Prepayments-All-USA-A,A,,,,,,
,1,501,503,0000,104650,3100,501,,,501-503-0000-104650-3100-501,USA-California-0000-BV 0% Exempt  Purchases-All-USA-A,A,,,,,,
,1,501,503,0000,104651,3100,501,,,501-503-0000-104651-3100-501,USA-California-0000-BV 0% Extra EU  Purchases-All-USA-A,A,,,,,,
,1,501,503,0000,104652,3100,501,,,501-503-0000-104652-3100-501,USA-California-0000-BV 0% Intra EU  Purchases-All-USA-A,A,,,,,,
,1,501,503,0000,104653,3100,501,,,501-503-0000-104653-3100-501,USA-California-0000-BV 19% Domestic  Purchases-All-USA-A,A,,,,,,
,1,501,503,0000,104654,3100,501,,,501-503-0000-104654-3100-501,USA-California-0000-BV 6% Domestic  Purchases-All-USA-A,A,,,,,,
,1,501,503,0000,104655,3100,501,,,501-503-0000-104655-3100-501,USA-California-0000-DE 0% Exempt  Purchases-All-USA-A,A,,,,,,
,1,501,503,0000,104656,3100,501,,,501-503-0000-104656-3100-501,USA-California-0000-DE 0% Extra EU  Purchases-All-USA-A,A,,,,,,
