coa_combination_id,coa_id,field1,field2,field3,field4,field5,field6,field7,field8,combination,description,ac_type,ef_id,status,rev_enabled_cb,rev_number,effective_start_date,effective_end_date
,1,101,103,0000,100001,3100,101,,,501-502-0000-100001-3100-501,,A,,,,,,
,1,101,103,0000,100010,3100,101,,,501-502-0000-100010-3100-501,,A,,,,,,
,1,101,103,0000,100020,3100,101,,,501-502-0000-100020-3100-501,,A,,,,,,
,1,101,103,0000,100030,3100,101,,,501-502-0000-100030-3100-501,,A,,,,,,
,1,101,103,0000,100040,3100,101,,,501-502-0000-100040-3100-501,,A,,,,,,
,1,101,103,0000,101001,3100,101,,,501-502-0000-101001-3100-501,,A,,,,,,
,1,101,103,0000,101011,3100,101,,,501-502-0000-101011-3100-501,,A,,,,,,
,1,101,103,0000,101012,3100,101,,,501-502-0000-101012-3100-501,,A,,,,,,
,1,101,103,0000,101013,3100,101,,,501-502-0000-101013-3100-501,,A,,,,,,
,1,101,103,0000,101101,3100,101,,,501-502-0000-101101-3100-501,,A,,,,,,
,1,101,103,0000,101102,3100,101,,,501-502-0000-101102-3100-501,,A,,,,,,
,1,101,103,0000,101103,3100,101,,,501-502-0000-101103-3100-501,,A,,,,,,
,1,101,103,0000,101104,3100,101,,,501-502-0000-101104-3100-501,,A,,,,,,
,1,101,103,0000,101204,3100,101,,,501-502-0000-101204-3100-501,,A,,,,,,
,1,101,103,0000,101205,3100,101,,,501-502-0000-101205-3100-501,,A,,,,,,
,1,101,103,0000,101206,3100,101,,,501-502-0000-101206-3100-501,,A,,,,,,
,1,101,103,0000,101270,3100,101,,,501-502-0000-101270-3100-501,,A,,,,,,
,1,101,103,0000,101800,3100,101,,,501-502-0000-101800-3100-501,,A,,,,,,
,1,101,103,0000,101950,3100,101,,,501-502-0000-101950-3100-501,,A,,,,,,
,1,101,103,0000,101951,3100,101,,,501-502-0000-101951-3100-501,,A,,,,,,
,1,101,103,0000,101952,3100,101,,,501-502-0000-101952-3100-501,,A,,,,,,
,1,101,103,0000,101990,3100,101,,,501-502-0000-101990-3100-501,,A,,,,,,
,1,101,103,0000,101991,3100,101,,,501-502-0000-101991-3100-501,,A,,,,,,
,1,101,103,0000,101999,3100,101,,,501-502-0000-101999-3100-501,,A,,,,,,
,1,101,103,0000,102000,3100,101,,,501-502-0000-102000-3100-501,,A,,,,,,
,1,101,103,0000,102900,3100,101,,,501-502-0000-102900-3100-501,,A,,,,,,
,1,101,103,0000,103000,3100,101,,,501-502-0000-103000-3100-501,,A,,,,,,
,1,101,103,0000,103005,3100,101,,,501-502-0000-103005-3100-501,,A,,,,,,
,1,101,103,0000,103010,3100,101,,,501-502-0000-103010-3100-501,,A,,,,,,
,1,101,103,0000,103015,3100,101,,,501-502-0000-103015-3100-501,,A,,,,,,
,1,101,103,0000,103020,3100,101,,,501-502-0000-103020-3100-501,,A,,,,,,
,1,101,103,0000,103100,3100,101,,,501-502-0000-103100-3100-501,,A,,,,,,
,1,101,103,0000,103110,3100,101,,,501-502-0000-103110-3100-501,,A,,,,,,
,1,101,103,0000,104000,3100,101,,,501-502-0000-104000-3100-501,,A,,,,,,
,1,101,103,0000,104100,3100,101,,,501-502-0000-104100-3100-501,,A,,,,,,
,1,101,103,0000,104400,3100,101,,,501-502-0000-104400-3100-501,,A,,,,,,
,1,101,103,0000,104410,3100,101,,,501-502-0000-104410-3100-501,,A,,,,,,
,1,101,103,0000,104420,3100,101,,,501-502-0000-104420-3100-501,,A,,,,,,
