fp_kanban_header_id,org_id,description,item_number,item_description,effective_from,effective_to,subinventory,locator,source_type,supplier,supplier_site,from_org,from_subinventory,from_locator,planning_only_cb,auto_request_cb,calculate,card_size,noof_card,moq,lead_time,allocation_per,flm,ssd,rfid_reference
,SPG,,1269193,"Adhesive, Epoxy, 2 Part, Optically Clear, EPO-TEK 302-3M, 2g Bi-Pack",,,EXP-04,EXP-04.01.02.04,SUBINV,,,,RAW-10,,,,CARD_SIZE,10,1,,,,,,0123456789ABCDEF01234567
,SPG,,1269193,"Adhesive, Epoxy, 2 Part, Optically Clear, EPO-TEK 302-3M, 2g Bi-Pack",,,EXP-05,EXP-05.02.02.04,SUBINV,,,,RAW-10,,,,CARD_SIZE,10,1,,,,,,E20020648616028417305D75
,SPG,,1264981,"Adhesive, Epoxy, 2 Part, TRA-BOND 2151, 3g BI-PAX",,,EXP-04,EXP-04.01.02.04,SUBINV,,,,RAW-10,,,,CARD_SIZE,10,1,,,,,,E20020648616028316206EB6
,SPG,,1264981,"Adhesive, Epoxy, 2 Part, TRA-BOND 2151, 3g BI-PAX",,,EXP-05,EXP-05.02.02.04,SUBINV,,,,RAW-10,,,,CARD_SIZE,10,1,,,,,,300ED89E1B10D2C000000038
,SPG,,1264982,"Adhesive, Epoxy, 2 Part, TRA-CAST 3145, 3g BI-PAX",,,EXP-04,EXP-04.01.02.04,SUBINV,,,,RAW-10,,,,CARD_SIZE,10,1,,,,,,E200206486160283181054E1
,SPG,,1264982,"Adhesive, Epoxy, 2 Part, TRA-CAST 3145, 3g BI-PAX",,,EXP-05,EXP-05.02.02.04,SUBINV,,,,RAW-10,,,,CARD_SIZE,10,1,,,,,,
,SPG,,1285482,"Wire, Solid, 0.4mmDia, Copper, Ag Plated ",,,EXP-04,EXP-04.01.04.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,
,SPG,,1285041,"Adhesive, Epoxy, 2-Part, Electrically Conductive, EPO-TEK EE129-4",,,EXP-04,10K FREEZER,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,
,SPG,,1285043,"Adhesive, Optical, Precision Positioning, Low-Shrink, OP-67-LS",,,EXP-05,EXP-05.03.02.01,SUBINV,,,,EXP-02,,,,CARD_SIZE,2,1,,,,,,
,SPG,,1285042,"Adhesive, Optical, UV Cure, NOA 81, 1oz Bottle",,,EXP-05,EXP-05.02.02.04,SUBINV,,,,EXP-02,,,,CARD_SIZE,1,1,,,,,,
